university_code,university_name,url
HCMCONS,Nhạc Viện TPHCM,https://huongnghiep.hocmai.vn/diem-truong/nhac-vien-tphcm
HSU,Đại Học Hoa Sen,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hoa-sen
SGU,Đại Học Sài Gòn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-sai-gon
OU,Đại Học Mở TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-mo-tphcm
VHU,Đại Học Văn Hiến,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-van-hien
GDU,Đại Học Gia Định,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-gia-dinh
HCMUL,Đại Học Luật TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-luat-tphcm
HCA,Học viện cán bộ TPHCM,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-can-bo-tphcm
UEH,Đại Học Kinh Tế TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-tphcm
HCMUC,Đại Học Văn Hóa TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-van-hoa-tphcm
UMP HCM,Đại Học Y Dược TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-duoc-tphcm
NLU,Đại Học Nông Lâm TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-nong-lam-tphcm
HCMUE,Đại Học Sư Phạm TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-tphcm
HUB,Đại Học Ngân Hàng TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ngan-hang-tphcm
UAH,Đại Học Kiến Trúc TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kien-truc-tphcm
HCMUFA,Đại Học Mỹ Thuật TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-my-thuat-tphcm
VPSU,Đại Học An Ninh Nhân Dân,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-an-ninh-nhan-dan
HUTECH,Đại học Công Nghệ TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-tphcm
TDTU,Đại Học Tôn Đức Thắng,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ton-duc-thang
VLU,Đại Học Dân Lập Văn Lang,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dan-lap-van-lang
IUH,Đại Học Công Nghiệp TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-tphcm
SIU,Đại Học Quốc Tế Sài Gòn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quoc-te-sai-gon
HVUH,Đại học Hùng Vương - TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hung-vuong-tphcm
UFM,Đại Học Tài Chính Marketing,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-tai-chinh-marketing
STU,Đại Học Công Nghệ Sài Gòn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-sai-gon
VAA,Học Viện Hàng Không Việt Nam,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-hang-khong-viet-nam
HIU,Đại Học Quốc Tế Hồng Bàng,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quoc-te-hong-bang
HCMUNRE,ĐH Tài Nguyên môi trường TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dh-tai-nguyen-moi-truong-tphcm
SM,Khoa Y - Đại học Quốc Gia TPHCM,https://huongnghiep.hocmai.vn/diem-truong/khoa-y-dai-hoc-quoc-gia-tphcm
TLU,Đại Học Thủy Lợi (Cơ sở 2),https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-thuy-loi-co-so-2
HCUS,Đại Học Thể Dục Thể Thao TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-the-duc-the-thao-tphcm
PNTU,Đại Học Y Khoa Phạm Ngọc Thạch,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-khoa-pham-ngoc-thach
UEF,Đại Học Kinh Tế -Tài chính TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-tai-chinh-tphcm
FTU2,Đại Học Ngoại Thương (phía Nam),https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ngoai-thuong-phia-nam
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-ky-thuat-tphcm
UT-HCMC,Đại Học Giao Thông Vận Tải TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-giao-thong-van-tai-tphcm
MSU,"Đại Học Sân Khấu, Điện Ảnh TPHCM",https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-san-khau-dien-anh-tphcm
HUFLIT,Đại Học Ngoại Ngữ – Tin Học TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ngoai-ngu-tin-hoc-tphcm
HUIT,Đại Học Công Thương TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-thuong-tphcm
NAPA,Học Viện Hành Chính Quốc Gia (phía Nam),https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-hanh-chinh-quoc-gia-phia-nam
UPES,Đại Học Sư Phạm Thể DụcThể Thao TPHCM,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-the-ducthe-thao-tphcm
